date,avg_daily_gas_used,distinct_block_number,distinct_miner,avg_block_size,avg_transacion_count,btc_price,btc_volume,eth_price,eth_volume,10_year_real_interest_rate,1_year_real_interest_rate,daily_gas_used_var
2021-08-06,15475710.36,6451,43,73362.35266,187.8811037,42816.5,38226483046,2890.94165,26528577879,-0.26101879,-3.20561303,115283548944502.75
2021-08-07,15502068.91,6549,46,69407.69812,182.9948084,44555.800781,40030862141,3157.23877,33081467129,-0.26101879,-3.20561303,116723327693936.9
2021-08-08,15473410.58,6496,50,72062.30773,182.3088054,43798.117188,36302664750,3013.732666,28433638008,-0.26101879,-3.20561303,117477513080688.61
2021-08-09,15474040.04,6505,48,74105.1342,187.3318985,46365.402344,38734079049,3167.856201,31983260936,-0.26101879,-3.20561303,111275697772963.23
2021-08-10,15482318.83,6507,47,77706.66037,186.3053635,45585.03125,33546019517,3141.691162,27605221710,-0.26101879,-3.20561303,115541318981620.25
2021-08-11,15471402.91,6401,47,74202.64318,192.846274,45593.636719,34319709073,3164.245117,26729035052,-0.26101879,-3.20561303,111126277286070.95
2021-08-12,15455957.89,6510,44,72469.66697,183.6072197,44428.289063,33723620826,3043.414307,25403699845,-0.26101879,-3.20561303,110696398023013.67
2021-08-13,15467603.8,6474,46,78084.39496,184.901143,47793.320313,31744259539,3322.21167,23868866254,-0.26101879,-3.20561303,111315657168869.05
2021-08-14,15465007.37,6500,48,78111.65123,178.4526154,47096.945313,31211354442,3265.443359,19860862133,-0.26101879,-3.20561303,114300065043115.11
2021-08-15,15479647.06,6420,48,74784.59065,175.279595,47047.003906,30988958446,3310.50415,22166205051,-0.26101879,-3.20561303,113469207127681.08
2021-08-16,15453207.21,6500,51,71481.68769,192.9181538,46004.484375,32776876610,3156.509521,23080039949,-0.26101879,-3.20561303,110963640431104.2
2021-08-17,15451322.94,6516,49,72395.18554,192.167434,44695.359375,33451362600,3014.845947,25509056745,-0.26101879,-3.20561303,109267625463240.84
2021-08-18,15448033.8,6399,49,68426.34537,187.7705892,44801.1875,32194123075,3020.089844,21539248425,-0.26101879,-3.20561303,107940390238963.97
2021-08-19,15431036.99,6565,48,68754.23839,191.2342727,46717.578125,37204312299,3182.702148,19546290360,-0.26101879,-3.20561303,105850780366486.28
2021-08-20,15473001.86,6459,44,67678.84022,195.0849977,49339.175781,34706867452,3286.935303,20885619828,-0.26101879,-3.20561303,111294834767471.48
2021-08-21,15511762.25,6431,46,71427.68263,184.537086,48905.492188,40585205312,3226.083984,18113977628,-0.26101879,-3.20561303,113837301891524.16
2021-08-22,15501043.63,6521,46,78148.8422,181.5508358,49321.652344,25370975378,3242.115479,15983278460,-0.26101879,-3.20561303,115042361009139.19
2021-08-23,15492001.91,6409,48,80990.53893,194.3554377,49546.148438,34305053719,3319.257324,20511110509,-0.26101879,-3.20561303,107384770613036.58
2021-08-24,15461334.48,6509,47,91843.77631,191.5887233,47706.117188,35361168834,3172.456299,20131028906,-0.26101879,-3.20561303,105669054751343.73
2021-08-25,15446098.71,6439,44,85143.6515,184.0006212,48960.789063,32646349931,3224.915283,18902728235,-0.26101879,-3.20561303,106713141163007.52
2021-08-26,15443876.86,6504,49,84562.64084,180.6677429,46942.21875,32666549568,3100.325439,17405668117,-0.26101879,-3.20561303,104558652632408.2
2021-08-27,15473780.41,6431,47,82066.29902,174.0121288,49058.667969,34511076995,3270.60083,18489602004,-0.26101879,-3.20561303,107118246779262.19
2021-08-28,15400742.88,6460,45,83726.05201,175.1890093,48902.402344,28568103401,3244.40332,13709633698,-0.26101879,-3.20561303,105948363220800.12
2021-08-29,15455142.87,6489,46,84515.89105,176.7837879,48829.832031,25889650240,3227.002686,13296586731,-0.26101879,-3.20561303,107528381502373.56
2021-08-30,15440393.93,6472,45,86918.12902,185.2584981,47054.984375,31847007016,3224.374268,19306924485,-0.26101879,-3.20561303,105333480189070.34
2021-08-31,15456822.88,6443,44,81212.41844,187.2286202,47166.6875,34730363427,3433.732666,27280502987,-0.26101879,-3.20561303,107885019908574.02
2021-09-01,15437179.9,6455,43,77894.39272,189.7914795,48847.027344,39139399125,3834.828125,30070890104,-0.19473087,-3.47182721,105449601239499.78
2021-09-02,15437935.61,6541,44,73326.21801,192.8234215,49327.722656,39508070319,3790.98999,24387397330,-0.19473087,-3.47182721,105456667422945.31
2021-09-03,15445228.4,6466,41,71968.51392,185.3969997,50025.375,43206179619,3940.614746,26207765094,-0.19473087,-3.47182721,105880172405435.22
2021-09-04,15476364.68,6429,43,74381.49168,184.9564473,49944.625,37471327794,3887.828369,20806963328,-0.19473087,-3.47182721,114983716907631.66
2021-09-05,15486846.1,6529,42,72251.1331,174.0644815,51753.410156,30322676319,3952.133545,18371468576,-0.19473087,-3.47182721,118230395692364.84
2021-09-06,15445777.13,6459,44,73325.06208,186.7925375,52633.535156,38884105426,3928.379395,18674691198,-0.19473087,-3.47182721,106221465402555.16
2021-09-07,15434118.82,6417,40,76559.36559,203.8446314,46811.128906,65210059683,3426.394287,39131346397,-0.19473087,-3.47182721,102307563025860.45
2021-09-08,15431229.42,6495,42,67791.95104,181.4394149,46091.390625,49007762488,3497.315186,31738430771,-0.19473087,-3.47182721,103418646591749.05
2021-09-09,15444308.95,6466,39,72831.36607,188.656047,46391.421875,38672657013,3427.340088,24118055831,-0.19473087,-3.47182721,106754885629103.75
2021-09-10,15431128.96,6459,42,72270.28673,192.7087784,44883.910156,39154666597,3211.505859,22355974097,-0.19473087,-3.47182721,104520210490988.66
2021-09-11,15452286.36,6396,43,76405.59897,195.3467792,45201.457031,34499835245,3270.278076,18627122934,-0.19473087,-3.47182721,108360309409348.4
2021-09-12,15461059.62,6538,44,80368.72729,185.2750076,46063.269531,27881980161,3410.134521,16810411424,-0.19473087,-3.47182721,110605817673479.06
2021-09-13,15452040.64,6412,45,76076.5719,197.6748284,44963.074219,40969943253,3285.511719,22721552948,-0.19473087,-3.47182721,107120562058014.11
2021-09-14,15445328.34,6461,39,78371.60393,190.564928,47092.492188,38652152880,3429.169678,19125420848,-0.19473087,-3.47182721,106449461774071.56
2021-09-15,15448562.19,6454,40,77512.04245,187.1072203,48176.347656,30484496466,3615.282715,17548551804,-0.19473087,-3.47182721,107060875355083.77
2021-09-16,15430014.93,6492,38,84901.41898,188.594886,47783.359375,31764293754,3571.294922,20093903064,-0.19473087,-3.47182721,102417495182273.14
2021-09-17,15447415.68,6467,40,79592.1486,183.6366167,47267.519531,28727713711,3398.538818,17722363229,-0.19473087,-3.47182721,107415046629770.25
2021-09-18,15437620.38,6451,39,77765.82964,177.2122152,48278.363281,28575630451,3432.018311,15995220233,-0.19473087,-3.47182721,106882059965496.72
2021-09-19,15470552.64,6508,42,82860.65596,173.3598648,47260.21875,26967722648,3329.447998,14257609743,-0.19473087,-3.47182721,109045317096383.78
2021-09-20,15437680.33,6432,41,86584.53576,182.6117848,42843.800781,43909845642,2958.993408,27371684581,-0.19473087,-3.47182721,101094283642979.94
2021-09-21,15409304.1,6496,42,84717.65856,183.6968904,40693.675781,48701090088,2764.431152,30405062665,-0.19473087,-3.47182721,100548748652558.95
2021-09-22,15437068.19,6437,42,84006.11543,182.3877583,43574.507813,38139709246,3077.86792,23742102645,-0.19473087,-3.47182721,100598007642802.3
2021-09-23,15410388.06,6411,44,82224.72142,186.094681,44895.097656,34244064430,3155.523682,18516291047,-0.19473087,-3.47182721,101946356924334.78
2021-09-24,15412689.54,6455,44,87100.43269,178.5724245,42839.75,42839345714,2931.669189,25595422789,-0.19473087,-3.47182721,100630641450298.34
2021-09-25,15431154.44,6573,42,82294.97216,170.5580405,42716.59375,31604717236,2925.565674,18932786754,-0.19473087,-3.47182721,103226263605559.08
